,Aggravated assault,Burglary,Counties/principal cities,Forcible rape,Larceny- theft,Larceny-theft,Larcenyâ€‘ theft,Motor vehicle theft,Murder and nonnegligent manslaughter,Population,Property crime,Rape 1,Robbery,Violent crime,counties,msa_label,msa_pop,year
8143,232.2,767.5,"Rate per 100,000 inhabitants",37.5,,,2639.1,273.6,1.7,,3680.3,,42,313.4,Includes Jasper and Newton Counties,"Joplin, MO M.S.A.",176156,2011
8144,108,391,City of Kankakee,31,,,859,53,4,27620,1303,,110,253,Includes Kankakee County,"Kankakee-Bradley, IL M.S.A.",113791,2011
8145,45,93,City of Bradley,12,,,661,9,0,15943,763,,10,67,Includes Kankakee County,"Kankakee-Bradley, IL M.S.A.",113791,2011
8146,219,702,Total area actually reporting,56,,,2228,90,4,89.2,3020,,133,412,Includes Kankakee County,"Kankakee-Bradley, IL M.S.A.",113791,2011
8147,236,754,Estimated total,59,,,2435,102,4,100,3291,,141,440,Includes Kankakee County,"Kankakee-Bradley, IL M.S.A.",113791,2011
8148,207.4,662.6,"Rate per 100,000 inhabitants",51.8,,,2139.9,89.6,3.5,,2892.1,,123.9,386.7,Includes Kankakee County,"Kankakee-Bradley, IL M.S.A.",113791,2011
8149,3498,6848,"City of Kansas City, MO",265,,,15305,3392,108,461458,25545,,1665,5536,"Includes Franklin, Johnson, Leavenworth, Linn, Miami, and Wyandotte Counties, KS and Bates, Caldwell, Cass, Clay, Clinton, Jackson, Lafayette, Platte, and Ray Counties, MO","Kansas City, MO-KS M.S.A.1",2045034,2011
8150,189,468,"City of Overland Park, KS",60,,,3237,310,2,174473,4015,,38,289,"Includes Franklin, Johnson, Leavenworth, Linn, Miami, and Wyandotte Counties, KS and Bates, Caldwell, Cass, Clay, Clinton, Jackson, Lafayette, Platte, and Ray Counties, MO","Kansas City, MO-KS M.S.A.1",2045034,2011
8151,534,1827,"City of Kansas City, KS1",95,,,4792,1264,27,146712,7883,,291,947,"Includes Franklin, Johnson, Leavenworth, Linn, Miami, and Wyandotte Counties, KS and Bates, Caldwell, Cass, Clay, Clinton, Jackson, Lafayette, Platte, and Ray Counties, MO","Kansas City, MO-KS M.S.A.1",2045034,2011
8152,6382,15209,Total area actually reporting,727,,,46712,7577,161,99.6,69498,,2460,9730,"Includes Franklin, Johnson, Leavenworth, Linn, Miami, and Wyandotte Counties, KS and Bates, Caldwell, Cass, Clay, Clinton, Jackson, Lafayette, Platte, and Ray Counties, MO","Kansas City, MO-KS M.S.A.1",2045034,2011
8153,6397,15241,Estimated total,730,,,46852,7589,161,100,69682,,2462,9750,"Includes Franklin, Johnson, Leavenworth, Linn, Miami, and Wyandotte Counties, KS and Bates, Caldwell, Cass, Clay, Clinton, Jackson, Lafayette, Platte, and Ray Counties, MO","Kansas City, MO-KS M.S.A.1",2045034,2011
8154,312.8,745.3,"Rate per 100,000 inhabitants",35.7,,,2291,371.1,7.9,,3407.4,,120.4,476.8,"Includes Franklin, Johnson, Leavenworth, Linn, Miami, and Wyandotte Counties, KS and Bates, Caldwell, Cass, Clay, Clinton, Jackson, Lafayette, Platte, and Ray Counties, MO","Kansas City, MO-KS M.S.A.1",2045034,2011
8155,162,404,City of Kennewick,27,,,2056,168,2,75077,2628,,35,226,Includes Benton and Franklin Counties,"Kennewick-Pasco-Richland, WA M.S.A.",257314,2011
8156,150,368,City of Pasco,25,,,1055,173,2,60719,1596,,31,208,Includes Benton and Franklin Counties,"Kennewick-Pasco-Richland, WA M.S.A.",257314,2011
8157,67,260,City of Richland,13,,,1075,63,1,48812,1398,,8,89,Includes Benton and Franklin Counties,"Kennewick-Pasco-Richland, WA M.S.A.",257314,2011
8158,474,1423,Total area actually reporting,90,,,4872,503,5,100,6798,,87,656,Includes Benton and Franklin Counties,"Kennewick-Pasco-Richland, WA M.S.A.",257314,2011
8159,184.2,553,"Rate per 100,000 inhabitants",35,,,1893.4,195.5,1.9,,2641.9,,33.8,254.9,Includes Benton and Franklin Counties,"Kennewick-Pasco-Richland, WA M.S.A.",257314,2011
8160,559,2034,City of Killeen,69,,,2989,187,15,130613,5210,,172,815,"Includes Bell, Coryell, and Lampasas Counties","Killeen-Temple-Fort Hood, TX M.S.A.",413828,2011
8161,80,575,City of Temple,21,,,1380,84,0,67493,2039,,84,185,"Includes Bell, Coryell, and Lampasas Counties","Killeen-Temple-Fort Hood, TX M.S.A.",413828,2011
8162,921,3882,Total area actually reporting,137,,,7309,400,18,99.5,11591,,300,1376,"Includes Bell, Coryell, and Lampasas Counties","Killeen-Temple-Fort Hood, TX M.S.A.",413828,2011
8163,925,3897,Estimated total,138,,,7362,404,18,100,11663,,301,1382,"Includes Bell, Coryell, and Lampasas Counties","Killeen-Temple-Fort Hood, TX M.S.A.",413828,2011
8164,223.5,941.7,"Rate per 100,000 inhabitants",33.3,,,1779,97.6,4.3,,2818.3,,72.7,334,"Includes Bell, Coryell, and Lampasas Counties","Killeen-Temple-Fort Hood, TX M.S.A.",413828,2011
8165,341,552,"City of Kingsport, TN",22,,,2556,132,3,48640,3240,,62,428,"Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA","Kingsport-Bristol-Bristol, TN-VA M.S.A.",312618,2011
8166,84,196,"City of Bristol, TN",20,,,943,48,0,26943,1187,,11,115,"Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA","Kingsport-Bristol-Bristol, TN-VA M.S.A.",312618,2011
8167,35,106,"City of Bristol, VA",8,,,530,21,1,18048,657,,13,57,"Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA","Kingsport-Bristol-Bristol, TN-VA M.S.A.",312618,2011
8168,890,2301,Total area actually reporting,103,,,7473,445,9,100,10219,,134,1136,"Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA","Kingsport-Bristol-Bristol, TN-VA M.S.A.",312618,2011
8169,284.7,736,"Rate per 100,000 inhabitants",32.9,,,2390.5,142.3,2.9,,3268.8,,42.9,363.4,"Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA","Kingsport-Bristol-Bristol, TN-VA M.S.A.",312618,2011
8170,51,115,City of Kingston,8,,,450,15,0,24000,580,,34,93,Includes Ulster County,"Kingston, NY M.S.A.",183313,2011
8171,225,749,Total area actually reporting,43,,,2588,98,2,100,3435,,65,335,Includes Ulster County,"Kingston, NY M.S.A.",183313,2011
8172,122.7,408.6,"Rate per 100,000 inhabitants",23.5,,,1411.8,53.5,1.1,,1873.8,,35.5,182.7,Includes Ulster County,"Kingston, NY M.S.A.",183313,2011
8173,1021,2544,City of Knoxville,94,,,9515,820,17,180488,12879,,559,1691,"Includes Anderson, Blount, Knox, Loudon, and Union Counties","Knoxville, TN M.S.A.",704327,2011
8174,2198,6321,Total area actually reporting,190,,,18935,1652,34,100,26908,,818,3240,"Includes Anderson, Blount, Knox, Loudon, and Union Counties","Knoxville, TN M.S.A.",704327,2011
8175,312.1,897.5,"Rate per 100,000 inhabitants",27,,,2688.4,234.6,4.8,,3820.4,,116.1,460,"Includes Anderson, Blount, Knox, Loudon, and Union Counties","Knoxville, TN M.S.A.",704327,2011
8176,88,505,City of Kokomo,20,,,1954,99,3,45700,2558,,73,184,Includes Howard and Tipton Counties,"Kokomo, IN M.S.A.",99192,2011
8177,154,820,Total area actually reporting,23,,,2437,122,5,98.9,3379,,79,261,Includes Howard and Tipton Counties,"Kokomo, IN M.S.A.",99192,2011
8178,156,826,Estimated total,23,,,2467,124,5,100,3417,,80,264,Includes Howard and Tipton Counties,"Kokomo, IN M.S.A.",99192,2011
8179,157.3,832.7,"Rate per 100,000 inhabitants",23.2,,,2487.1,125,5,,3444.8,,80.7,266.2,Includes Howard and Tipton Counties,"Kokomo, IN M.S.A.",99192,2011
8180,122,313,"City of La Crosse, WI",18,,,1435,75,0,51544,1823,,25,165,"Includes Houston County, MN2 and La Crosse County, WI","La Crosse, WI-MN M.S.A.2",134312,2011
8181,166,603,Total area actually reporting,,,,2369,106,0,99,3078,,28,,"Includes Houston County, MN2 and La Crosse County, WI","La Crosse, WI-MN M.S.A.2",134312,2011
8182,167,608,Estimated total,,,,2398,107,0,100,3113,,29,,"Includes Houston County, MN2 and La Crosse County, WI","La Crosse, WI-MN M.S.A.2",134312,2011
8183,124.3,452.7,"Rate per 100,000 inhabitants",,,,1785.4,79.7,0,,2317.7,,21.6,,"Includes Houston County, MN2 and La Crosse County, WI","La Crosse, WI-MN M.S.A.2",134312,2011
8184,319,635,City of Lafayette,38,,,2190,175,3,67483,3000,,48,408,"Includes Benton, Carroll, and Tippecanoe Counties","Lafayette, IN M.S.A.",202820,2011
8185,412,1107,Total area actually reporting,60,,,3754,272,3,95.6,5133,,61,536,"Includes Benton, Carroll, and Tippecanoe Counties","Lafayette, IN M.S.A.",202820,2011
8186,421,1146,Estimated total,62,,,3880,283,3,100,5309,,64,550,"Includes Benton, Carroll, and Tippecanoe Counties","Lafayette, IN M.S.A.",202820,2011
8187,207.6,565,"Rate per 100,000 inhabitants",30.6,,,1913,139.5,1.5,,2617.6,,31.6,271.2,"Includes Benton, Carroll, and Tippecanoe Counties","Lafayette, IN M.S.A.",202820,2011
8188,590,1194,City of Lafayette,15,,,5040,277,6,121726,6511,,232,843,Includes Lafayette and St. Martin Parishes,"Lafayette, LA M.S.A.",276242,2011
8189,1103,2053,Total area actually reporting,51,,,7617,383,11,94.1,10053,,304,1469,Includes Lafayette and St. Martin Parishes,"Lafayette, LA M.S.A.",276242,2011
8190,1176,2195,Estimated total,56,,,8180,406,12,100,10781,,317,1561,Includes Lafayette and St. Martin Parishes,"Lafayette, LA M.S.A.",276242,2011
8191,425.7,794.6,"Rate per 100,000 inhabitants",20.3,,,2961.2,147,4.3,,3902.7,,114.8,565.1,Includes Lafayette and St. Martin Parishes,"Lafayette, LA M.S.A.",276242,2011
8192,68,228,City of Lake Havasu City,26,,,974,66,1,53271,1268,,3,98,Includes Mohave County,"Lake Havasu City-Kingman, AZ M.S.A.",203020,2011
8193,78,303,City of Kingman,7,,,1153,64,2,28465,1520,,14,101,Includes Mohave County,"Lake Havasu City-Kingman, AZ M.S.A.",203020,2011
8194,295,1653,Total area actually reporting,45,,,4469,341,12,100,6463,,57,409,Includes Mohave County,"Lake Havasu City-Kingman, AZ M.S.A.",203020,2011
8195,145.3,814.2,"Rate per 100,000 inhabitants",22.2,,,2201.3,168,5.9,,3183.4,,28.1,201.5,Includes Mohave County,"Lake Havasu City-Kingman, AZ M.S.A.",203020,2011
8196,366,1333,City of Lakeland,36,,,3612,202,6,98750,5147,,140,548,Includes Polk County,"Lakeland-Winter Haven, FL M.S.A.",610301,2011
8197,208,458,City of Winter Haven,12,,,1294,105,4,34336,1857,,78,302,Includes Polk County,"Lakeland-Winter Haven, FL M.S.A.",610301,2011
8198,1847,6057,Total area actually reporting,143,,,13213,836,25,100,20106,,528,2543,Includes Polk County,"Lakeland-Winter Haven, FL M.S.A.",610301,2011
8199,302.6,992.5,"Rate per 100,000 inhabitants",23.4,,,2165,137,4.1,,3294.4,,86.5,416.7,Includes Polk County,"Lakeland-Winter Haven, FL M.S.A.",610301,2011
8200,245,531,City of Lancaster,37,,,2378,105,5,59511,3014,,217,504,Includes Lancaster County,"Lancaster, PA M.S.A.",521101,2011
8201,483,1881,Total area actually reporting,115,,,8349,356,7,100,10586,,341,946,Includes Lancaster County,"Lancaster, PA M.S.A.",521101,2011
8202,92.7,361,"Rate per 100,000 inhabitants",22.1,,,1602.2,68.3,1.3,,2031.5,,65.4,181.5,Includes Lancaster County,"Lancaster, PA M.S.A.",521101,2011
8203,796,1650,City of Lansing,90,,,2397,240,8,114211,4287,,275,1169,"Includes Clinton, Eaton, and Ingham Counties","Lansing-East Lansing, MI M.S.A.",463686,2011
8204,57,292,City of East Lansing,17,,,699,52,1,48542,1043,,7,82,"Includes Clinton, Eaton, and Ingham Counties","Lansing-East Lansing, MI M.S.A.",463686,2011
8205,1125,3231,Total area actually reporting,214,,,7155,485,18,98.2,10871,,338,1695,"Includes Clinton, Eaton, and Ingham Counties","Lansing-East Lansing, MI M.S.A.",463686,2011
8206,1140,3278,Estimated total,217,,,7304,501,18,100,11083,,343,1718,"Includes Clinton, Eaton, and Ingham Counties","Lansing-East Lansing, MI M.S.A.",463686,2011
8207,245.9,706.9,"Rate per 100,000 inhabitants",46.8,,,1575.2,108,3.9,,2390.2,,74,370.5,"Includes Clinton, Eaton, and Ingham Counties","Lansing-East Lansing, MI M.S.A.",463686,2011
8208,818,1790,City of Laredo,76,,,8143,486,11,241059,10419,,215,1120,Includes Webb County,"Laredo, TX M.S.A.",255571,2011
8209,919,1907,Total area actually reporting,84,,,8436,508,11,100,10851,,222,1236,Includes Webb County,"Laredo, TX M.S.A.",255571,2011
8210,359.6,746.2,"Rate per 100,000 inhabitants",32.9,,,3300.8,198.8,4.3,,4245.8,,86.9,483.6,Includes Webb County,"Laredo, TX M.S.A.",255571,2011
8211,336,1120,City of Las Cruces,17,,,3164,262,3,98710,4546,,68,424,Includes Dona Ana County,"Las Cruces, NM M.S.A.",211575,2011
8212,620,1863,Total area actually reporting,61,,,4514,423,7,100,6800,,90,778,Includes Dona Ana County,"Las Cruces, NM M.S.A.",211575,2011
8213,293,880.5,"Rate per 100,000 inhabitants",28.8,,,2133.5,199.9,3.3,,3214,,42.5,367.7,Includes Dona Ana County,"Las Cruces, NM M.S.A.",211575,2011
8214,6587,12662,City of Las Vegas Metropolitan Police Department,651,,,21977,6787,82,1458474,41426,,3493,10813,Includes Clark County,"Las Vegas-Paradise, NV M.S.A.",1967721,2011
8215,8106,15978,Total area actually reporting,769,,,29435,8263,93,100,53676,,3764,12732,Includes Clark County,"Las Vegas-Paradise, NV M.S.A.",1967721,2011
8216,411.9,812,"Rate per 100,000 inhabitants",39.1,,,1495.9,419.9,4.7,,2727.8,,191.3,647,Includes Clark County,"Las Vegas-Paradise, NV M.S.A.",1967721,2011
8217,265,502,City of Lawrence,33,,,3098,193,0,88200,3793,,37,335,Includes Douglas County,"Lawrence, KS M.S.A.",111530,2011
8218,311,642,Total area actually reporting,39,,,3632,214,0,100,4488,,40,390,Includes Douglas County,"Lawrence, KS M.S.A.",111530,2011
8219,278.8,575.6,"Rate per 100,000 inhabitants",35,,,3256.5,191.9,0,,4024,,35.9,349.7,Includes Douglas County,"Lawrence, KS M.S.A.",111530,2011
8220,589,1960,City of Lawton,57,,,3365,206,8,97904,5531,,175,829,Includes Comanche County,"Lawton, OK M.S.A.",125426,2011
8221,624,2086,Total area actually reporting,63,,,3575,229,8,100,5890,,180,875,Includes Comanche County,"Lawton, OK M.S.A.",125426,2011
8222,497.5,1663.1,"Rate per 100,000 inhabitants",50.2,,,2850.3,182.6,6.4,,4696,,143.5,697.6,Includes Comanche County,"Lawton, OK M.S.A.",125426,2011
8223,30,133,City of Lebanon,11,,,486,24,0,25558,643,,46,87,Includes Lebanon County,"Lebanon, PA M.S.A.",133994,2011
8224,125,419,Total area actually reporting,25,,,1771,68,1,93.7,2258,,72,223,Includes Lebanon County,"Lebanon, PA M.S.A.",133994,2011
8225,136,446,Estimated total,26,,,1901,74,1,100,2421,,77,240,Includes Lebanon County,"Lebanon, PA M.S.A.",133994,2011
8226,101.5,332.9,"Rate per 100,000 inhabitants",19.4,,,1418.7,55.2,0.7,,1806.8,,57.5,179.1,Includes Lebanon County,"Lebanon, PA M.S.A.",133994,2011
8227,32,387,City of Lewiston,13,,,943,21,3,36587,1351,,29,77,Includes Androscoggin County,"Lewiston-Auburn, ME M.S.A.",107688,2011
8228,13,200,City of Auburn,7,,,876,18,0,23052,1094,,23,43,Includes Androscoggin County,"Lewiston-Auburn, ME M.S.A.",107688,2011
8229,65,839,Total area actually reporting,37,,,2279,63,4,100,3181,,60,166,Includes Androscoggin County,"Lewiston-Auburn, ME M.S.A.",107688,2011
8230,60.4,779.1,"Rate per 100,000 inhabitants",34.4,,,2116.3,58.5,3.7,,2953.9,,55.7,154.1,Includes Androscoggin County,"Lewiston-Auburn, ME M.S.A.",107688,2011
8231,743,2724,City of Lexington1,105,,,9036,671,14,297847,12431,,496,1358,"Includes Bourbon, Clark, Fayette, Jessamine, Scott, and Woodford Counties","Lexington-Fayette, KY M.S.A.1",475361,2011
8232,1011,4303,Total area actually reporting,154,,,13906,852,17,99.7,19061,,621,1803,"Includes Bourbon, Clark, Fayette, Jessamine, Scott, and Woodford Counties","Lexington-Fayette, KY M.S.A.1",475361,2011
8233,1013,4317,Estimated total,155,,,13948,855,17,100,19120,,623,1808,"Includes Bourbon, Clark, Fayette, Jessamine, Scott, and Woodford Counties","Lexington-Fayette, KY M.S.A.1",475361,2011
8234,213.1,908.2,"Rate per 100,000 inhabitants",32.6,,,2934.2,179.9,3.6,,4022.2,,131.1,380.3,"Includes Bourbon, Clark, Fayette, Jessamine, Scott, and Woodford Counties","Lexington-Fayette, KY M.S.A.1",475361,2011
8235,258,786,City of Lima,48,,,1357,119,1,38799,2262,,97,404,Includes Allen County,"Lima, OH M.S.A.",106409,2011
8236,316,1164,Total area actually reporting,66,,,2566,174,2,97.4,3904,,115,499,Includes Allen County,"Lima, OH M.S.A.",106409,2011
8237,318,1180,Estimated total,67,,,2624,177,2,100,3981,,117,504,Includes Allen County,"Lima, OH M.S.A.",106409,2011
8238,298.8,1108.9,"Rate per 100,000 inhabitants",63,,,2466,166.3,1.9,,3741.2,,110,473.6,Includes Allen County,"Lima, OH M.S.A.",106409,2011
8239,619,1401,City of Lincoln,166,,,8424,364,4,260685,10189,,177,966,Includes Lancaster and Seward Counties,"Lincoln, NE M.S.A.",304853,2011
8240,630,1503,Total area actually reporting,173,,,8959,377,4,97.5,10839,,177,984,Includes Lancaster and Seward Counties,"Lincoln, NE M.S.A.",304853,2011
8241,634,1523,Estimated total,174,,,9019,384,4,100,10926,,177,989,Includes Lancaster and Seward Counties,"Lincoln, NE M.S.A.",304853,2011
8242,208,499.6,"Rate per 100,000 inhabitants",57.1,,,2958.5,126,1.3,,3584,,58.1,324.4,Includes Lancaster and Seward Counties,"Lincoln, NE M.S.A.",304853,2011
8243,1849,4655,City of Little Rock,161,,,9756,1093,37,194988,15504,,858,2905,"Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline Counties","Little Rock-North Little Rock-Conway, AR M.S.A.",705050,2011
8244,363,1101,City of North Little Rock,20,,,4067,351,12,62775,5519,,216,611,"Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline Counties","Little Rock-North Little Rock-Conway, AR M.S.A.",705050,2011
8245,139,406,City of Conway,22,,,2208,105,4,59354,2719,,82,247,"Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline Counties","Little Rock-North Little Rock-Conway, AR M.S.A.",705050,2011
8246,3429,9947,Total area actually reporting,309,,,23274,2230,67,91.1,35451,,1257,5062,"Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline Counties","Little Rock-North Little Rock-Conway, AR M.S.A.",705050,2011
8247,3596,10365,Estimated total,327,,,23864,2322,69,100,36551,,1268,5260,"Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline Counties","Little Rock-North Little Rock-Conway, AR M.S.A.",705050,2011
8248,510,1470.1,"Rate per 100,000 inhabitants",46.4,,,3384.7,329.3,9.8,,5184.2,,179.8,746,"Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline Counties","Little Rock-North Little Rock-Conway, AR M.S.A.",705050,2011
8249,22,49,"City of Logan, UT",2,,,314,13,0,49104,376,,2,26,"Includes Franklin County, ID and Cache County, UT","Logan, UT-ID M.S.A.",127757,2011
8250,43,218,Total area actually reporting,13,,,1093,45,0,100,1356,,5,61,"Includes Franklin County, ID and Cache County, UT","Logan, UT-ID M.S.A.",127757,2011
8251,33.7,170.6,"Rate per 100,000 inhabitants",10.2,,,855.5,35.2,0,,1061.4,,3.9,47.7,"Includes Franklin County, ID and Cache County, UT","Logan, UT-ID M.S.A.",127757,2011
8252,272,800,City of Longview,20,,,2643,272,4,80239,3715,,107,403,"Includes Gregg, Rusk, and Upshur Counties","Longview, TX M.S.A.",218879,2011
8253,618,1793,Total area actually reporting,76,,,4971,565,11,99.5,7329,,135,840,"Includes Gregg, Rusk, and Upshur Counties","Longview, TX M.S.A.",218879,2011
8254,620,1801,Estimated total,76,,,4998,567,11,100,7366,,136,843,"Includes Gregg, Rusk, and Upshur Counties","Longview, TX M.S.A.",218879,2011
8255,283.3,822.8,"Rate per 100,000 inhabitants",34.7,,,2283.5,259,5,,3365.3,,62.1,385.1,"Includes Gregg, Rusk, and Upshur Counties","Longview, TX M.S.A.",218879,2011
8256,87,317,City of Longview,35,,,1483,197,2,37223,1997,,38,162,Includes Cowlitz County,"Longview, WA M.S.A.",104017,2011
8257,166,683,Total area actually reporting,85,,,2451,301,4,100,3435,,60,315,Includes Cowlitz County,"Longview, WA M.S.A.",104017,2011
8258,159.6,656.6,"Rate per 100,000 inhabitants",81.7,,,2356.3,289.4,3.8,,3302.3,,57.7,302.8,Includes Cowlitz County,"Longview, WA M.S.A.",104017,2011
8259,8843,17264,City of Los Angeles,828,,,53469,15597,297,3837207,86330,,10077,20045,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8260,1400,3275,City of Long Beach,112,,,7329,2212,25,467691,12816,,1320,2857,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8261,647,1067,City of Santa Ana,62,,,4222,1286,13,328343,6575,,591,1313,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8262,715,1410,City of Anaheim,105,,,5964,1119,15,340218,8493,,446,1281,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8263,67,513,City of Irvine,11,,,2649,118,2,214872,3280,,40,120,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8264,136,623,City of Glendale,14,,,2506,323,0,193973,3452,,108,258,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8265,523,890,City of Pomona,54,,,2578,976,11,150810,4444,,339,927,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8266,224,1011,City of Pasadena,26,,,2382,279,7,138734,3672,,178,435,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8267,75,509,City of Torrance,17,,,1957,301,2,147148,2767,,91,185,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8268,66,445,City of Orange,6,,,2001,206,3,138020,2652,,82,157,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8269,175,643,City of Fullerton,25,,,2548,359,2,136750,3550,,104,306,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8270,114,524,City of Costa Mesa,30,,,2743,267,4,111253,3534,,83,231,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8271,105,395,City of Burbank,17,,,1926,234,1,104555,2555,,68,191,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8272,625,800,City of Compton,45,,,1202,863,17,97589,2865,,380,1067,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8273,320,573,City of Carson,13,,,1360,559,5,92792,2492,,106,444,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8274,215,483,City of Santa Monica,24,,,2300,188,1,90791,2971,,129,369,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8275,73,441,City of Newport Beach,16,,,1702,80,0,86187,2223,,27,116,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8276,50,243,City of Tustin,7,,,1167,103,1,76428,1513,,39,97,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8277,70,671,City of Montebello,6,,,766,400,1,63235,1837,,97,174,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8278,40,213,City of Monterey Park,1,,,635,191,1,60978,1039,,60,102,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8279,129,395,City of Gardena,11,,,789,269,2,59521,1453,,139,281,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8280,38,408,City of Arcadia,5,,,1206,85,1,57027,1699,,24,68,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8281,119,268,City of Paramount,6,,,884,469,1,54734,1621,,129,255,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8282,56,273,City of Fountain Valley,8,,,941,65,1,55963,1279,,14,79,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8283,29,375,City of Cerritos,4,,,1221,165,0,49618,1761,,51,84,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
8284,27522,60048,Total area actually reporting,2314,,,183422,46324,641,100,289794,,22147,52624,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12979653,2011
